为Y作祭文,礼仪文字,著述,主角,1.0
为Y作世系碑记,记咏文字,著述,对象,1.0
传经于Y,学术交往,学术,对象,2.5
担任,官职,政治,主角,0
致书Y,书札文字,著述,主角,2
拒为Y之党,政治对抗,政治,对象,1.0
墓由Y题,墓志文字,著述,主角,2
担任,官职,政治,主角,5
称道Y之节行,社会交际,社交,对象,1.0
为Y的墓志铭作额篆,序跋文字,著述,主角,2
拥立Y,政治奥援,政治,亲戚,1.5
担任,官职,政治,主角,16
反对不支持Y的政策,政治对抗,政治,对象,-3
迁住地,迁徙,其它,主角,0
论学,学术主题相近,学术,对象,1.5
为Y墓表作跋,序跋文字,著述,主角,2
收藏品由Y作跋,序跋文字,著述,对象,1.0
献策于Y,官场关系（下属）,政治,对象,1.5
求他人第三方为Y作神道碑,传记文字,著述,主角,0
诗文跋由Y所作,序跋文字,著述,主角,2
谄事Y,官场关系（下属）,政治,主角,1
求他人第三方为Y作墓志铭,墓志文字,著述,对象,0
借书给Y,社会交际,社交,对象,1.5
继承Y的职业,社交,社交,主角,5
恩主是Y,政治奥援,政治,对象,2.0
担任,官职,政治,主角,4
建议处决Y,政治对抗,政治,对象,1.0
蛊惑Y,社交,社交,对象,1.5
同僚,官场关系（平级）,政治,主角,3
为Y作传,传记文字,著述,主角,1.0
侨居,迁徙,其它,主角,0
其或追随者杀害Y,政治对抗,政治,主角,0
下令处决,政治对抗,政治,主角,2
为Y作砚铭,箴铭文字,著述,主角,2
赠Y物,社会交际,社交,对象,2.0
辟,官场关系（上司）,政治,主角,1
担任,官职,政治,主角,6
为Y作字说名述,序跋文字,著述,主角,0
得罪Y,政治对抗,政治,对象,-1.5
未知,未知,其它,主角,0
题Y的书帖,序跋文字,著述,对象,1.5
为Y作斋堂铭,书札文字,著述,主角,0
书序由Y所作,序跋文字,著述,亲戚,2
同场屋同应举,政治关系（笼统）,政治,对象,0
为Y作挽诗词,墓志文字,著述,主角,0
逃离Y的统治区,政治对抗,政治,主角,4
不合,政治对抗,政治,对象,-1.5
潜邸旧人为Y,官场关系（上司）,政治,主角,2
担任,官职,政治,主角,39
同乡,同为……之成员,社交,主角,4
书序由Y所作,序跋文字,著述,对象,1.0
未详,迁徙,其它,主角,0
门人为Y,师生关系,学术,主角,3
诗社成员,文学艺术交往,学术,主角,3
为Y之神道碑作书,墓志文字,著述,对象,1.0
相识,朋友,社交,对象,4
文风效法Y,文学艺术交往,学术,主角,2
婢为Y,社交,社交,主角,1
诗文由Y编辑,文学艺术交往,学术,主角,3
为Y之书题词,序跋文字,著述,对象,1.0
被Y奏论,政治关系（笼统）,政治,对象,1.5
弟子为Y,师生关系,学术,亲戚,2.5
未知,未知,其它,对象,0
合撰编)著作,学术交往,著述,对象,0
担任,官职,政治,主角,24
研修理学,学术主题相近,学术,主角,4
担任,官职,政治,主角,36
党魁为Y,政治奥援,政治,对象,1.5
与Y结党,政治奥援,政治,对象,1.5
未详,迁徙,其他,关系指证人,0.0
部将为Y,官场关系（上司）,政治,亲戚,3
以宦官事Y,政治奥援,政治,主角,4
为Y祭文作跋,序跋文字,著述,主角,3
陷害Y,政治对抗,政治,对象,1.0
文学作品未详,未详,著述,未详,0
担任,官职,政治,主角,18
担任,官职,政治,主角,28
行状跋由Y所作,序跋文字,著述,主角,2
传Y之学,学术交往,学术,对象,2.0
政见趋同,政治奥援,政治,对象,2.5
护佑Y,政治奥援,政治,对象,1.0
题Y的书帖,序跋文字,著述,主角,3
科举次第由Y决定,官场关系（上司）,政治,主角,2
担任,官职,政治,主角,11
诗文序由Y所作,序跋文字,著述,主角,3
友,朋友,社交,亲戚,2.0
称道Y之文风,文学艺术交往,学术,主角,2
从Y游,师生关系,学术,对象,2.0
未知,未知,其它,撰著者,0.0
为Y学派的成员,同为……之成员,学术,对象,2.0
恩主是Y,政治奥援,政治,主角,4
陷害Y,政治对抗,政治,主角,2
门客为Y,政治奥援,政治,对象,1.5
元符上书入籍者,政治奥援,政治,主角,3
辟,官场关系（上司）,政治,对象,0.5
为Y作年谱,传记文字,著述,对象,1.5
